idx|Premise|Hypothesis|label
141750e|She barred the Industrialist's quick movement in that direction.|She stopped the Industrialist from going that way.|0
125654e|(Imagine me snapping my fingers, but in an attractive Italian suit and a better apartment.)|Think of me in a better apartment with an attractive Italian suit on, snapping my fingers.|0
139694e|This tiny  desert island  offers the opportunity to sunbathe on sandy shores or snorkel in clear water and feel a million miles away from Kingston.|The island can feel as if it were far from Kingston.|0
76124e|He doesn't want to engage Inglis in some lofty debate about principles.|He doesn't want to engage Inglis in some lofty debate about principles.|0
2050e|There are good bargains to be found at the end of each season, particularly just after Christmas, when the shops of towns like Ambleside have seasonal sales.|You can find good bargains at the end of the season, especially afer December 26.|0
30735e|well yeah yeah it's the that that particular one was a two day trip so what uh uh there's uh there's a outfitter and uh they haul you up to the headwaters come down about halfway and then you get to you spend the night and then uh the second day head on down to the to the pool at the end of the river|An outfitter will take you up to the headwaters.|0
61321e|The most devastating rebuttal is from the chemist in charge of the Auschwitz analysis, who explains that the gas wouldn't have penetrated more than 10 microns into the wall (a human hair is 100 microns thick), so by crushing the samples (standard procedure), he had effectively diluted the cyanide 100,000 times.|The chemist in charge of the Auschwitz analysis gave a devastating rebuttal.|0
52954e|The importance of Siena's 13th- and 14th-century school of art is best illustrated in the imposing Palazzo Buonsignori's National Art Gallery (Pinacoteca Nazionale).|The National Art Gallery illustrates the importance of Siena's 13th- and 14th-century school of art.|0
82219e|German troops later marched through the Amari Valley, burning villages to the ground and killing any men they could find.|German soldiers burned villages and killed men in the Amari Valley.|0
73373e|yeah i'm gonna um go ahead and go straight in and get my Master's degree|I am going to get my Master's degree.|0
136313e|In 1930, the Congress consolidated and coordinated various veterans' programs with the establishment of the Veterans Administration.|Congress coordinated veteran programs and established the VA in 1930. |0
34883e|Finally, in 1936, a large section of the army under General Francisco Franco rose in revolt against the government.|In 1936 a big portion of General Francisco Franco's army came up against the government.|0
90613e|Rubbish lay everywhere- discarded debris and detritus, a carpet of party streamers.|There was garbage all over.|0
28373e|yeah right we're going we're going through the exact same thing|We are going through the exact same situation.|0
70761e|Autumn is warm and the pace less frantic perfect for such watching activities as the harvesting of the olives.|Autum is a more relaxing to visit.|0
96610e|The first of Grenewald's painted panels depicts on one side the conversion and temptation of Anthony and on the other the birth of Jesus and a chorus of angels.|You can view the birth of Jesus and Antony's conversion on Grenewald's painted panels.|0
126259e|From St. Andrew's Square, it is only a short walk north to Queen Street, where you will find the Scottish National Portrait Gallery on the corner.|It is a short walk from St. Andrew Square to the Scottish National Portrait Gallery.  |0
143402e|right jeez and i guess a minimal pay or|Correct, man and I suppose minimal pay. |0
87114e|Don Reese, he put them both out in the street.|They both got put on the street.|0
16450e|yeah that that's where you just float down the river right|You just float down the river, right?|0
134386e|Everyone makes way for the cow, sacred to the Hindus.|When Hindus see a cow, they make way for it.|0
12373e|#NAME?|Hauling of materials and cleanup can be handled with the assistance of unskilled labor.|0
44244e|yeah i think it could affect the outcome you know could make it unfair|Yes, I believe that it could affect the outcome and make it unfair.|0
48582e|For example, depending on the ultimate cap levels chosen by Congress, this type of legislation would obviate the need for Best Available Retrofit Technology requirements, mercury MACT, and new source review case-by-case technology requirements for power generators.|Legislation could remove the need for Best Available Retrofit Technology requirements.|0
138489e|It's a highway connecting two areas already well connected to the Interstate Highway System, and will only benefit people traveling from the area southwest of Greenville to the area southeast of Greenville, and vice versa.|The highway will benefit people traveling between the areas southwest and southeast of Greenville.|0
132218e|"Send him round to a store to buy a penn'orth of peanuts."" Though not particularly enjoying the American's free and easy manner of speech, Kramenin was devoured by curiosity."|The American had a very easy and carefree way of speaking.|0
73775e|He does not pander to political reality by accepting large expenditures for national defense, environmental regulation, or publicly funded education.|He doesn't buy into reality by accepting large expenditures. |0
23073e|cause i'm in Garland|Since I am located in Garland.|0
39725e|but uh government is ridiculous|Government is ridiculous.|0
137543e|Were her denials intended primarily for the listeners? |A question is asked of the purpose of her denials.|0
53306e|well but no i'm talking about the idea of the that the company set up uh factories right across the border Right across the Texas border in Mexico|The company set up factories right on the border.|0
73870e|If you wish to get to know the people, you can arrange to visit them with a guide (see page 121).|Guides can be arranged to facilitate introductions to the people.|0
74739e|She had noticed the speaker more than once amongst the first-class passengers.|She observed the presence of the speaker within first class passengers several times.|0
60790e|yeah it's really it's really sad because they're they're not doing anything well we're getting off the subject i guess but just like with housing i mean they're not doing anything about pollution they're not doing anything about it's going to look like Houston have you ever been to Houston|They are not making any attempt to address pollution.|0
43605e|In the restored Treasury (built in 1715 and located in the Lower Yard), browse in the bookshop or relax in the pleasant self-service Castle Vaults Bistro and Patisserie.|There is a bookstore in the Treasury building. |0
114354e|Us boys, we hadda go git th' wood ax an' chop 'em apart 'fore we knew what we was all to do.|We boys had the job of getting the wood ax and chopping them apart.|0
116218e|right right right  right well that's all what i always felt if it if those studies were true about smokers having higher medical costs|That's what I always thought if the studies were correct about smokers and medical costs.|0
65532e|Better make two identical planets for each--and two suns--and put one on your track controls.|Put one sun and moon on your track controls.|0
25467e|He was making no move toward them.|He wasn't making a move toward them.|0
5445e|The book itself, the story of a 30-year-old American widow in London, is unimpressive.|The book is unimpressive.|0
70148e|The survey data collected were used to estimate a WTP equation for improved visibility.|Survey data is collected to estimate a WTP equation.|0
45670e|Moderates held on, but the election boycott was at least 33 percent successful.|Nearly a third of the electorate didn't participate.|0
142567e|our supervisor uh suddenly bought all of us a book called What Every Supervisor Should Know|Our boss got all of us the same book.|0
114952e|almost any large city in the United States and the driver barely speaks English|The driver does not speak English well.|0
140415e|Once, the huge man swung so hard he lost his balance and stumbled forward.|The huge man lost his balance.|0
101055e|In the U.S., street delivery costs for rural and city carriers combined comprises 21 percent of total costs.|Rural and city carrier costs make up a significant portion of street delivery costs.|0
121411e|The gravy formed strings as I lifted the fork to my mouth.|The gravy was very stringy.|0
1025e|Clinton, continues Gigot, has come to regard himself as a latter-day Jean Valjean, a decent man hounded by inexplicably cruel enemies.|According to Gigot, Clinton likens himself to a latter-day Jean Valjean.|0
22119e|An unusual feature is the huge spiral ramp of the Tour des Minimes, wide enough to allow access for horses and provisions.|The Tour des Minimes has an the atypical feature of a spiral ramp.|0
134049e|On the Application of Ethnographic Inquiry to  Procedures and Possibilities.|Application ethnographic question to procedures and possibilities |0
51014e|they're they're thinking about putting a deposit on them because pretty much you have to you're having a whole separate recyclable bin just for these fruit cans where they're so much easier just to put a deposit on it because most|It's easier to put a deposit on it instead of a separate bin.|0
117980e|The terms financial statements and consolidated financial statements are used throughout this document to refer to the basic financial statements of a reporting entity; the basic financial statements normally  the balance sheet, the statements of net cost, changes in financial position, financing, budgetary resources, and custodial activities and the notes to the financial statements.|Financial statements are referenced a lot in the document.|0
13037e|You will also be caught by the beauty of the many mosques, temples, churches, and shrines as the country's faithful practice their beliefs, their places of homage often existing within steps of each other in harmony.|There are many beautiful religious buildings in the area.|0
38833e|The Democratic fretfulness about Gore's polls is  Vice presidents always poll terribly in the year before their presidential campaign.|Gore has polled badly for the year preceding his presidential run.|0
62989e|they kind of drag on did you read that one uh let's see uh that the Arab guy wrote that the Abdul is going to come uh|There is a book that an Arab guy wrote about the Abdul.|0
106436e|In addition to asserting his authority over this region, the temples were also used for the storage of gold and other precious cargos carried by caravan from central Africa.|Gold and cargo are stored in the temples. |0
17825e|General Electric Aircraft Engines has digitally captured, and made available to design engineers, Cpk data on almost all of its manufacturing processes and it strives to have critical processes in control to a point where they will yield no more than 1 defect in 500 million parts, a Cpk of 2.0.|General Electric Aircraft Engines digitally captured Cpk data on most of it's manufacturing processes.|0
88811e|That remains to be seen, said Sir James gravely.|Sir James expresses his uncertainty towards the future.|0
100127e|Any of the several friendly little teahouses and coffee shops along the way make an ideal rest stop.|One can make a rest stop at one of the teahouses.|0
36438e|to fill it up i think that's great and you weigh your container you know and then you weigh your salad after that|I think it's great, you weigh your container and then you weigh your salad.|0
14544e|After the return to Colgate Gel--because of its positive characteristics when used with the Sonicare cordless brush--my mouth was just about back to normal.|I like Colgate Gel.|0
137410e|was it Brady yeah|I wonder if it was Brady.|0
90235e|what is that what is it because of because of expense is that|What is it that it could be because of the expenditures?|0
2946e|Before NATO began bombing Yugoslavia March 24, the proposed Rambouillet solution--restoring Kosovo's autonomy but not granting it independence--seemed like a plausible outcome.|NATO began bombing Yugoslavia on March 24.|0
143846e|Somehow, we'll incarnate you fully!|We'll find a way to make you fully whole again!|0
123871e|no we usually don't do i mean they catch catfish i keep saying they because i never fish but um they catch catfish you on accident sometimes|They catch catfish by accident sometimes. |0
29534e|Stow it, said Number 14.|Number 14 spoke.|0
103792e|"Before the post-mortem?"""|Did post-mortem come after?|0
87417e|But the English flag did not fly over San Juan for long.|San Juan did not fly England's flag for long.|0
109200e|maybe a graduate pretty good overall students out of there|There are a lot of good students out there.|0
79655e|did we do what was correct there|I am wondering if what we did was correct over there.|0
35335e|Does loyalty to party supersede loyalty to country?|Does party loyalty have greater importance than patriotism?|0
108671e|Geraldine Ferraro's resignation as co-host of Crossfire , to run for the Senate from New York, has occasioned the usual pokes at CNN's nightly political interview-cum-debate program.|Geraldine Ferraro is resigning as co-host of Crossfire in order to run for Senate from New York.|0
88251e|if you treat them right they're not the gas guzzlers i think that they've got the reputation to be i'm convinced that uh Detroit or whoever it is made a major mistake years ago when they stopped putting the small V eights in and went to the fours and some of the sixes|I don't think they have the reputation to be gas guzzler.|0
65193e|The new notion of personal security has eclipsed the traditional Israeli preoccupation with assuring the security of the Jewish state and its society in the midst of a hostile environment, he wrote.|The Israelis are obsessed with keeping the Jewish state safe.|0
40725e|By Wednesday morning we had received half a dozen e-mail messages from various readers establishing beyond question, with supportive documentation, that Amelio supported George Bush in 1992 and Bob Dole in 1996.|Various readers provided supportive documentation to establish the fact that Amelio supported George Bush in 1992 and Bob Dole in 1996.|0
82410e|"Well, then, listen."" He sat down on the corner of the desk and took out a cigarette."|He found a cigarette as he sat on the table.|0
141247e|He overcame this fear enough to give away billions (more by far than even Andrew Carnegie) and created the University of Chicago, Rockefeller University, and his own foundation.|Andrew Carnegie gave away a lot of money. |0
134168e|And, when the no-shift elasticities of the basic and workshared product are the same, the gains become even smaller and the peak becomes very pronounced.|The gains become smaller when the no-shift elasticities of the basic and workshared product are the same.|0
103984e|even women who do stay home to raise families i think that they are still thought of as equals in in the role you know as far as the role in the family and society goes|I think stay-at-home moms are still regarded as equals in family and society.|0
22349e|so anyway back to the original question i really think i if if we were still allowed to choose guilt or innocence|The original question had to do with choosing guilt or innocence.|0
89802e|Office of Management and Budget (OMB) Circular A-123, Management Accountability and Control, revised|OMB revised their management accountability standards.|0
33168e|Competition is generally believed to lead to efficiency, be it economic or technical.|Technical efficiency is believed to be one of the results of competition.|0
34757e|The Palais des Papes is the resulting combination of feudal fortress and opulent palace.|The Palais des Papes has two potential functions.|0
119297e|PointCast has succeeded so far with a mass-market approach--relatively few news sources, sorted into relatively few buckets.|The mass-market approach was successful for PointCast.|0
76948e|Prior to OPM amending its regulations on senior executive performance management systems, BLM, FHWA, IRS, and VBA implemented systems|Systems were implemented before the OPM amended its regulations on performance management systems.|0
100386e|Right now, Nebraska Legal Services, which handles about 95 percent of the state's legal-aid cases, figures it reaches only 15 percent of the 211,000 Nebraskans eligible by income for its services.|Nebraska Legal Services handles 95% of the legal aid cases.|0
28094e|but we dug a hole about six times as big as it needs to be and filled it with all kinds of compost and pine needles and everything else we could think of hopefully it'll drain this year|The hole we dug was much bigger than necessary.|0
70491e|but uh we live we live on on a cash budget and it sometimes it's tight come the end of the month but generally we always make it|Our budget is sometimes hit at the end of the month, but we make it through. |0
129146e|Well, maybe two jokes if you count Heritage USA; is that still for sale?|Heritage USA is also a joke; can we still buy them?|0
71746e|sure of course no one does i'm sure they don't you know it was|I'm positive they have no idea, in fact nobody does.|0
8295e|The authorities believe that the bounty hunters used their profession as a cover for armed robbery.|Authorities believe bounty hunters use their profession as an armed robbery front. |0
94925e|I have a treat for you today, said Jon.|You will get a treat from me today, said Jon.|0
92416e|to this day i don't care if i go or not you know if it's going to get me it's get me|It's going to get me an I don't care if I go. |0
47664e|To the east of the Accademia along the Grand Canal, a breath of the 20th century awaits you at the Peggy Guggenheim Collection of modern art in the Palazzo Venier dei Leoni.|The Peggy Guggenheim Collection is along the Grand Canal.|0
103063e|Will you ask Sir James if I can see him for a few minutes? |Can you please let James know I want to see him?|0
86009e|uh-huh and perhaps Emily will when she's a little older|Yes, perhaps Emily will be able to, a few year from now.|0
93739e|The beast's shadow overtook Adrin and he whispered a prayer Gauve's wife, Celeste, had taught him.|Celeste taught Adrin a prayer.|0
72747e|There's a name for this personnel  It's called Pass the Trash.|Some people call this personnel Pass the Trash.|0
15155e|money seems to be too big of an issue with with with with with with what's going on today and i i think i think that we may not you know that may be|These days money gets way too much focus as an issue.|0
50170e|that would be great great if they weren't too worn out at the time|They were really worn out by then.|0
87991e|and um they use those a lot but usually it's either shiners or|They use them a lot. |0
105127e|I've got some very important business I'd like to talk over with you, if I can see you alone. He looked pointedly at the other.|I'd like to see you alone so we can talk over some very important business.|0
128512e|The scarcity of flatlands suitable for cultivation made it possible for a small aristocratic elite to gain quick control of the food resources.|Flatland scarcity allowed aristocrats to gain control of resources.|0
92201e|Other agencies made comments available electronically for certain rules or groups of rules.|Other agencies allowed comments to be made online.|0
76062e|Guadeloupeans, who don't always own land, like to move around.|Lots of Guadeloupeans do not own land.|0
107596e|George Bush was a wonderful man who really got Ronald Reagan's third term.|George Bush was a wonderful man who followed in the footsteps of Ronald Reagan. |0
98973e|Lutterfield brought 'em in, eh?|Lutterfield brought people in.|0
30007e|The prince, known as Bonnie Prince Charlie (the grandson of James VII), raised an army of Jacobite highlanders and swept through Scotland.|The prince, who was the grandsom of James VIII had another name. |0
44631e|The King's gold funerary mask can also be seen, a truly awe-inspiring find which still dazzles the eye even after over 3,000 years.|The King's funeral mask is on display.|0
5620e|NET was developed to screen pregnant patients for at-risk drinking, alcohol abuse, and dependence.|NET's purpose is to monitor pregnant patients for alcohol abuse.|0
13021e|that's true i agree with that um i i noticed yesterday in the paper something said that it i think it's been nominated for twelve awards and and all the critics initially said that you know it wouldn't go anywhere that it was just gonna be a dud so it it has surprised everybody|Everyone was surprised it had received twelve nominations.|0
25910e|overhead cam diesel engine that represented a quantum leap in performance beyond Cummins' existing products.|Representing a quantum leap in performance was the overhead cam diesel engine.|0
97562e|never be the same so  i don't know it's  it's really scary and i don't know what to and i don't know what needs to be done you know it seems like there's no room in jails to put them in jail and when they do put them in there you know were i'm taking a business law class at night and the guy that teaches it is a practicing criminal attorney and|It seems the jails are overcrowded and they don't have any rooms for criminals.|0
24537e|Half the city's chasing him.|Fifty percent of the city is chasing after him. |0
89126e|We next examine the volume vulnerable to capture by potential cream skimmers.|Next up, we look at the amount that's vulnerable to be caught by potential cream skinners.|0
9570e|and uh even if uh if you hang on to it for five years put a little bit of uh uh money into it you're going to get it back again with uh with premium just like putting money in a bank it's forced forced savings|If you hang onto for five years and just put a little bit of money into it you will get the money back with a premium. |0
106859e|They may not know much of the world, but they certainly understand what the high school rewards, and it ain't learning about Jefferson or Malcolm X. Indeed, the grand prize for doing well academically at public high school is to get you as far away as possible from it, to the Ivy League and its ilk.|The big prize for doing well in high school is entry to the Ivy League.|0
27511e|Most of the candidates, with the exception of Bush, who hasn't yet taken a stand, also say that certain records, including medical and financial information, should be protected by legislation.|Bush hasn't taken a stand on the issue.|0
3988e|It is surrounded by luxuriant formal gardens with marvellous views.|The gardens have great views.|0
77708e|The young daughter of the Chinese consul is kidnapped, and Chan is summoned from Hong Kong to Los Angeles, where FBI agents saddle him with wild man L.A. cop Tucker (My own mama ashamed of me, she tell everyone I'm a drug dealer!|The investigation is carried out by one Chinese and one American law enforcement agent.|0
55316e|but i never think about it until after you go there for about a week your toes you start getting blisters anyway so no big deal|After seven days or so, your toes start to develop blisters.|0
11138e|Experience has shown that when these elements are in place, lasting management reforms are more likely to be implemented that ultimately lead to improvements in the performance and cost-efficiency of government.|Lasting reforms happen when certain elements are in place.|0
26738e|Mailers are, however, understandably concerned over the cost of litigating these more frequent cases.|Mailers are concerned about the cost of litigating frequent cases. |0
137547e|own countrymen uh right in the middle of Red Square and uh it's going to cause a more civil war than is already occurring|Conflict in Red Square is increasing to a dangerous extent. |0
6547e|In a country with a century of national unity and the scalding experience of Mussolini's fascism, sports seem almost the only activity that can inspire any semblance of patriotic fervor in Italians.|Italians are generally not very patriotic outside of sports.|0
81348e|okay sounds good was nice talking to you bye-bye|It was nice talking to you.|0
109177e|we built our home in what was a brand new subdivision in nineteen sixty five and we were the fourth lot in this subdivision to be built on|We built our home in 1965 at a new subdivision.|0
4928e|Most Italians are naturally cheerful and friendly towards foreigners.|Italians act friendly towards foreigners.|0
143593e|If Franke-Ruta actually believes for a sane moment that Stein's cafe reflections are erotic confessionals, if this is the frustration she experiences from Watching the Couples Go By, then she had better not read anything at all.|Frankie-Ruta could believe that Stein's words are erotic confessionals.|0
81912e|"I got it from the principal of the college there."" An unformulated dread swept over Tuppence."|I received it from the principal.|0
141746e|The rules depart from those generally applicable to proposed mail classification changes by reducing the amount of supporting evidence the Postal Service is required to produce, and by expediting the Commission's procedural schedule for considering the particular form of proposed change.|The generally applicable rules for mail changes reduce evidence required to produce by the postal service.|0
135477e|He is happy to bury us here.|He wants to hurt us.|0
85246e|Even if people are randomly divided into groups, the groups will automatically discriminate against each other.|If people are split up, the groups will be against each other.|0
93066e|I observed John. |John was being observed.|0
50466e|so that was the next problem he had to redo that too i|We had to do it again.|0
27469e|Crummock Water lies in the shadow of dramatic Mellbreak Peak.|Crummock Water is near to Mellbreak Peak.|0
135426e|but um we are we are apparently i'm i'm fairly new to Rochester i've only been here a couple a few years and we are supposedly Rochester public schools are are one of the model the city schools are some of the models for the rest of the country|Rochester public schools are models for most of the country. |0
46657e|It was one Tommy would have recognized anywhere! |Tommy would know what it looked like anywhere.|0
113794e|In response, some presort firms provide same-day entry and some drop ship to nearby locations.|The firms allow for same day entry.|0
125338e|Michael Kinsley  I'm clean.|I told Kinsley I was clean.|0
83956e|yeah a lot of our trees and things now are are starting to bud out i sure hope we i sure hope we don't get a hard freeze  to to kill everything now|It is my desire that we do not get a hard freeze.  |0
8450e|The time and effort needed to locate receiving reports would also not exist, and prompt payment requirements (taking advantage of discounts and avoiding late payment fees) could more easily be met.|Customers can avoid late payment fees and spend less time locating received reports. |0
127389e|Preaching that suffering came from the pursuit of personal desire, Buddha had advocated the Middle Way of the Eightfold  right views, right resolve, right speech, right conduct, right livelihood, right effort, right recollection, and right meditation.|Buddha advocated many paths to enlightenment, including meditation.|0
126039e|Rarely useful in evaluation and is usually hazardous.|It is often hazardous and not useful.|0
7910e|oh say that she needed that didn't she  you know it must be hard when you have a lot of children i you know to have i was an only child my mother was an only child so i  you know i wasn't raised with  brothers or sisters and i always got all the attention so i wouldn't know  i think i would be extremely jealous or would have been  had there  been another child in the family|Me and my mother were both the only children in the family.|0
21396e|-Licensed Satellites Providing Domestic and International Service in the United States (IB Docket No.|Satellites provide international help to The United States, or within the United States.|0
71679e|yeah that would be really great|Sure that'd be excellent|0
77237e|Sufferers may actually be able to control their sputterings, according to experiments led by Randy Flanagan at Queen's University in Ontario, BBC Online reports.|Experiments lead by Randy Flanagan of Queens University have shown that those who suffer from sputtering might be able to gain control of the problem.|0
125277e|boy i bet yeah uh-huh|That's totally true, yeah.|0
123460e|toward the strategic goals defined in plans?|Does this relate to the identified long-term mission as set forth in the plans?|0
89816e|Although it's a thought.|However, it's a consideration.|0
25423e|The Sacrista (Sacristy) is an art museum within the cathedral.|The cathedral contains an art museum called the Sacrista.|0
27611e|Instead, one would expect the emphasis on content to either decrease significantly or disappear.|Emphasis on content would be expected to, at least, decrease significantly.|0
125467e|Hitler was an easy target|It was easy to get Hitler.|0
87654e|During her career, she accomplished several things to improve legal funding for the poor, locally and nationwide.|Her career allowed her to reach many people nationally.|0
64951e|right and it could end at anytime|Correct and it's a fact that it can be over at any point.|0
107355e|OMB approved the requirements as an addendum to the ICR approved under OMB Control  |OMB provided an addendum to the ICR.|0
66068e|Craig also praised the royal family with George Street, Queen Street, and Princes Street.|The royal family was praised through street names.|0
103244e|did did you did you hear what Schwartzkopf had to say about uh Pete Arnett and uh the the news coverage|Did you hear the news coverage and what Schwartzkopf said about Pete Arnett?|0
145650e|This, however, is unlikely to happen quickly.|It will take a while to happen.|0
51100e|"Make it straight ahead now!""Both of them looked up."|Go straight ahead! Both people looked up.|0
125794e|so i guess it was just a generational thing|I think it has to do with generations.|0
116949e|The technique was introduced by Assyrian traders 1,000 years later in?δo Anatolia, where it was qui?Σk?άy adopted by the indigenous Hatti people, who, at this point, had already reached an ad?Ϳζanced state of civilization.|The Hattie people reached an advanced state of civilization.|0
22388e|'Okay, let's be sensible.|Let's use logic.|0
65607e|'Not bad,' Derry said, circling the Clone Tank.|Derry was circling the Clone Tank.|0
121084e|i know what this guy stands for as far as for his party and um but yeah you know that's not uh the best way but|I understand his political positions but it's not the best way.|0
46126e|Some years later, French colonizers moved south to both Guadeloupe and Martinique.|French colonizers went south.|0
73036e|It did much more consenting than advising.|There was less advising than consenting. |0
5351e|Other promising technology initiatives include the CalJustice Technology Project of the Public Interest Clearinghouse, which focuses on increasing client access to the judicial system through the development of an artificial intelligence-based tool to help advocates quickly spot issues in and strategize about cases.|An artificial intelligence-based tool is being developed to help advocates.|0
139196e|As it is, advocates say the 110,000 Marylanders they reach probably are no more than 20 percent of those in need.|There may be over 550,000 Marylanders who are in need.|0
141094e|But not today.|It is not possible today.|0
42462e|By contrast, many nerds can be handsome (Gore) or self-confident to the point of arrogance (Gates, Gingrich).|Many nerds can be handsome or self-confident.|0
84770e|It was set for sixty minutes and counting.|Sixty minutes was the setting.|0
94385e|she knows what she's doing all the teachers like about half the teachers are degreed teachers and oh it makes a huge difference|The teachers are well-qualified.|0
109626e|Hokkaido now has some fascinating museums devoted to Ainu life, and the village of Shiraoi preserves the artifacts and folkcrafts of their culture.|Hokkaido now possess some interesting museums dedicated to Ainu life. |0
26710e|It's an easy place.|The place is easy.|0
18879e|From somewhere a woman screamed and ran from another nearby house to the boys.|She ran screaming.|0
29421e|The moral questions and outrage arise, however, when a consumer forks over $129 for a pair of sneakers that were assembled cheaply in some Third World country.|It is ridiculous to think about how much an item's final cost is given how little the person that made it was paid.|0
74278e|well uh i accepted Christ as my Lord and Savior and so i don't use drugs any more|I have gained religion and I no longer use drugs.|0
129687e|Inside and open-air dining by candlelight.|They have outside dining as well.|0
116565e|They're going to save Fena Dim.|Fena Dim needed to be saved.|0
54642e|One step toward that goal was a recent pledge by some of the state's leading lawyers to raise up to $1 million for the firm over the next three years.|Some lawyers have pledged to raise up to one million dollars.|0
47122e|The oldest building in the park is Ashtown Castle, a former papal residence which has been renovated to house the splendid Phoenix Park Visitor Centre (open 9:30am 6:30pm; adults IRa2, children IRa1; concessions; disabled access), which presents a video and an excellent two-floor exhibition on the history and wildlife of the park.|Ashtown Castle is the oldest building in the park.|0
6012e|Lastly, revenue and spending related to Puerto Rico, the Virgin Islands, and other U.S. territories are counted in the federal unified budget but not in NIPA.|Revenue and spending related to Puerto Rico are counted in the federal unified budget.|0
