idx|Premise|Hypothesis|label
28004c|Sham En Nessim ' the National Spring Festival, held the first Monday after Coptic Easter, when the whole population comes out to celebrate.|First Monday after Coptic Easter, we only hold the National Dieting Festival.|1
86079c|a child who is obviously very ready and another child who doesn't even speak English let alone know her colors|The children must speak Spanish in their classes.|1
126858c|It is familiar to battle and strong enough to survive when its wielder does not.|It has never been wielded in battle before.|1
102500c|The model rules explicitly reject virtually everything Feige said in his Gist piece.|Feige was delight to hear that the model rules had approved his Gist piece.|1
30701c|The cover story is a baby boomer's first-person account of taking care of her elderly parents.|The cover story is a story of an elderly couple taking care of their only daughter.|1
33208c|Ca'daan attempted none.|Ca'daan's attempt was bold, but ultimately futile.|1
72917c|The case is not clear yet, no. |It's crystal clear what happened.|1
8567c|A real liar wouldn't tell you that he's a liar as Wolff does, would he?|Wolff says he is truthful.|1
126639c|The long-vanished old tower from which Torrevieja took its name has been replaced by a new one, built with funds raised by expatriate citizens.|The old tower of Torrevieja still stands today just as it was when it was built a thousand years ago.|1
57164c|For example, if we're interested in identifying patients with binge drinking, we can define binge drinking as 3, 4, 5, or 6 drinks on an occasion.|It's impossible to identify binge drinking in patients.|1
115586c|Port Antonio and the Blue Mountains|There aren't any Blue Mountains. |1
122563c|yeah i understand that yeah|I can't understand what you mean|1
70788c|and uh we try to take a vacation with them every year camping of some sort something that wasn't expensive and uh our youngest is uh expecting her first baby so they're they're all out and on their own they're and we have one to get married yet and they'll all be married uh and they're they're all doing pretty good they uh two lives in Pittsburgh you probably don't know where that is|We didn't have kids because we didn't have enough money to raise them.|1
5928c|But the market has clearly signaled a future in which guanxi , or connections, will count as much as traditional pluck and enterprise.|The market states that connections are worthless.|1
125566c|Bureaucratic Failure and|Bureaucratic success.|1
13827c|In 1963 it had 520 employees and an annual budget of $8 million.|They had to let go of 500 employees in 1963.|1
31925c|like you i haven't played any or not much this year i played a couple of times but|I've played constantly all year long.|1
135518c|Ataterk was the founder of modern Turkey, which is no mean accomplishment (what have you done with your life?)|Ataterk founded India.|1
137971c|This situation has adversely affected the SEC's ability to adequately enforce the securities laws and also its ability to invest in technology to more efficiently manage its workload.|Thanks to the onset of this situation, SEC has received more funding for technology to maximise efficiency.|1
95566c|no not near as much as i'd like to i mean i've i tend to stay pretty busy at my job and uh|My job doesn't get too busy.|1
95782c|At Plumer Square you are at the center of a district of public gardens.|Plumer Square is five miles away from any public gardens.|1
22811c|As capital of Europe's fastest growing economy today, this new, self-assured Dublin is now very much a European city.|Ireland continues to be one of the slowest economies in Europe to date.|1
65781c|As Brill points out in the December issue of his magazine, Starr's weasels laughably echo Clinton's.|Starr is not at all similar to Clinton in any way.|1
48777c|Straws in the  To the mystification of beach-goers, the U.S. government is proposing regulations to protect sharks from depletion by fishermen.|Sharks are being threatened with new government regulation.|1
95746c|The cathedral's richly Baroque Chapel of San Genaro is the highlight, its altar containing two phials of Naples' beloved patron saint's blood.|The altar has two strands of the patron saint's hair.|1
87258c|Periodic assessments or reports on activities can be a valuable means of identifying areas of noncompliance, reminding employees of their responsibilities, and demonstrating management's commitment to the security program.|The employees all comply regardless of reports.|1
132809c|A villainous-faced man with close-cropped hair stood in the doorway.|There was no man at the doorway.|1
116883c|She plans to turn her attention from filling stadiums nationwide to bringing a much smaller crowd  her family, the Post reports.|Filling stadiums nationwide isn't possible for her.|1
84815c|go together yeah|I am not going.|1
87869c|no no i've never had any luck with their's|Yeah, I've always had success with theirs.|1
136819c|Although the governance issues may not be insurmountable, another possible concern is that the federal government could become the largest single investor.|The governance issues are definitely not insurmountable.|1
27563c|That's a bargain, said Japp heartily. |That's too expensive, said Japp.|1
37810c|So the money thing's tough.|The money thing's a walk in the park.|1
38040c|The magazine's panel makes mostly predictable choices, including sculptor Constantin Brancusi, Surrealist Salvador Dala, Abstract Expressionist Willem de Kooning, architect Le Corbusier, Neoplasticist Piet Mondrian, photographer Man Ray, Impressionist Claude Monet, and probably the most influential Henri Matisse.|The magazine panel's choices were completely unexpected.|1
32320c|I'm in a meeting you tell them, the director replied kicking his legs slightly with frustration.|The director did not kick his legs.|1
134909c|The pump also offers superb ease of squeeze.|The pump is very difficult to squeeze.|1
127374c|Susan slept wrapped in a bundle of blankets.|Susan laid the blankets on the floor and laid on top of them.|1
92552c|Now the conservative mantras are perjury is perjury and no man is above the law--and K finds himself tempted by the idea that it isn't the end of the world if a perjurer gets away with it.|Democrats say perjury is perjury and no one can get away with it.|1
104461c|Where possible and appropriate, include the construction contractor, permitting agency staff, and independent specialists for value engineering and independent review.|It is not necessary to include the construction contractor.|1
25440c|"But come in, Dorcas is here."""|Dorcas was never here. |1
7843c|But the more important question  How many teen-age girls are getting pregnant in the first place?|The statistics say men get pregnant more than women actually do.|1
45898c|Indeed, the computer companies that wanted to take IE off their desktops (the behavior Justice wants to prevent Microsoft from forbidding) probably intended to give Netscape Navigator an exclusive position on the desktop.|The companies wanted to keep internet explorer and get rid of Netscape navigator. |1
58064c|Kiftlik kebap is a casserole of lamb, onion, and peas.|Kiftlik kebap has pears|1
112411c|The distinctive, sculpted marble figures of the era are now being reproduced in vast quantities as souvenirs.|The marble figures are forbidden from being reproduced for sale.|1
27967c|The unimpeded views of Funchal are unbeatable.|The view of Funchal is obscured from every possible vantage point.|1
64662c|Although public attention usually focuses on the dates by which the trust funds are projected to become insolvent, the effects associated with financing cash deficits for these programs will be felt sooner as the baby boom generation begins to retire.|The baby boom generation will not ever retire.|1
45574c|Only the battered desk and an attendant chair with a laced rawhide seat were of the frontier.|There was a brand-new desk and chair.|1
85868c|'I know, sir.' He gave me the business card.|I got the business card from the woman. |1
132821c|yeah well the the thing with Bush|The thing with Keyy.|1
43037c|and for everything i've heard it's a lot easier to sell an automatic|I heard manuals are easier to sell.|1
100060c|No single interpretation, however, is clearly compelled by the statutory language.|There is one interpretation in the statute.|1
88631c|The Kirkstone Inn, an old coach house and now local landmark, was built here to shelter travelers on the hazardous trip between Penrith and the central lakes area.|The trip between Penrith and the central lakes area was a leisurely and relaxing journey.|1
60669c|like we're from Missouri and when we moved|We're from Dallas, Texas. |1
135276c|okay well any other comments|goodbye|1
28429c|GDP is also the measure cited in economic trend analyses and for cross-country comparisons by many, including the President's Council of Economic Advisers, the International Monetary Fund, and the Organization for Economic Cooperation and Development (OECD).|GDP is not cited in economic trend analysis|1
11355c|yeah i'm not exactly sure where the you know the can thing is but you know sometimes it's just so seems so much easier just to take it and throw it in the trash and have them pick it up than it is to smash the cans and drive it some place to have them|It's much easier having cans be picked up than throwing them straight in the bin.|1
63605c|Postal Service and all other national posts is that they provide service to every address in the countries they serve.|National postal services do not provide service to addresses in their countries.|1
139613c|It was on that particular voyage that the Lusitania was torpedoed and sunk.|The Lusitania did not sink.|1
4408c|From a practical standpoint, this means that active executives should limit the number of boards they sit on, and all board members need to be comfortable that they can dedicate the time needed to properly discharge their fiduciary responsibilities.|From a practical standpoint, active executives should sit on as many boards as they can.|1
32441c|on each floor they have a little kitchen area where you can go down and have a make a meal you know|There's only one kitchen in the whole building.|1
96502c|the other is to actually you know carry everything on your back i've done camping out in at in the Aspen Mountains in Colorado where|The Aspen Mountains are located in Florida.|1
79281c|well i guess mine breakdown about they say about every six months|Mine is perfectly fine and never breaks, lasting me since 30 years ago.|1
40062c|He has competitors also searching for these objects, and what is more, they too are looking for Nachtigel in order to avenge themselves.|Nachtigel is a prize unknown to others.|1
76576c|Look out as well for a giraffe, which indicates the Indian west coast's early contact with Africa.|The giraffe doesn't indicate the Indian west coast's early contact with Africa.|1
78637c|After quenching, the less corrosive flue gases entering the absorber decrease to temperatures of 49 - 66 eC with pH values between 5 and 6.5.|Less corrosive flue gasses entering the absorber increased temperatures.|1
46904c|West of the railway station and within view is the Masjid Negara (National Mosque), a vast, modern complex covering over 5 hectares (13 acres).|Find the Masjid Negara, or the National Mosque east of the railway station.|1
12282c|He came out at dusk, walking tall and pulling down the corner of his leather three-corner hat.|He pushed off his hat.|1
68153c|She will die first!' I had no idea what she was talking about.|As soon as she spoke I knew exactly what she was talking about. |1
54720c|Shows his heels good, too.|His heels are bad.|1
90055c|not you know you don't want to over do it but just a little a touch of it just to say yes i am a woman but i can be professional too|I don't want to be a professional.|1
5082c|which has made us as lot more stable but anyway well it was nice to talk to you they're are going to interrupt us any minute now i can tell|We still have some time. No one will interrupt us.|1
119116c|The most poignant, though not typical, case involved raids against the coastal hamlet of San German.|The coastal hamlet of San German was never raided.|1
121657c|yeah and what to do when they're faced with it|They will never face it.|1
118072c|We were in the Fat Man's office.|We were absolutely miles away from the Fat Man's office, where we had meant to be. |1
125522c|Incidentally, the cathedral was even taller until a lightning bolt lopped off the main tower in 1614.|The cathedral is considered to be protected from any natural disasters, these never happened.|1
25341c|oh yeah why is that why is that|I am very familiar with the reason behind that.|1
88491c|After years of government propaganda predicting the worst atrocities, most Japanese civilians were surprised at the warmth and friendliness of the occupying forces.|The Japense government was predicting the occupying forces would be friendly.|1
112096n|During 1995 alone, approximately|1995 was the year |2
59186c|For example, crediting additional securities to the trust fund or increasing the interest rate paid on the trust fund's securities would commit additional future general revenue to the Social Security program but does not increase the government's overall revenue or reduce its costs.|Increasing interest paid causes government revenue to increase.|1
60008c|In summer the smaller island is scorched and yellow, with rusty-colored rock and cliff formations.|In the summer the island is a livid green with gentle hills.|1
9809c|yeah well you can 't|That can certainly be done.|1
116451c|Hungry  Mao's Secret Famine , by Jasper Becker (Free Press).|Jane Smith is the author of Hungry Mao's Secret Famine. |1
97746c|Think of William Faulkner, whose characters often appear and reappear in his various novels and stories.|Faulkner uses the same two characters in all his novels.|1
14797c|You should come see yourself.|You should stay where you are.|1
135086c|Huge representations of rulers like Ramses II illustrate the power held by the throne and by the cult of personality, though there are also tiny sculptures such as a bust of Queen Hatschepsut, which may have stood on a mantle or in a niche, showing that Egyptians were not just fixated by the epic and monumental.|The Egyptians only bothered to depict the greatest of their Pharaohs in their immortalizing art.|1
90663c|The salamander turned, heading toward the others.|The salamander stayed where it was. |1
102445c|Vrenna and Thorn, dressed in hide cloaks and hoods pulled tight, went south to the mountain crags.|The two people wore bright yellow robes and stayed at home.|1
84022c|Auditors may meet this requirement by listing voucher numbers, check numbers, or other means of identifying specific documents they examined.|The requirement can be met by auditors simply by crossing their fingers and saying 'I swear'.|1
40474c|From one point of view--mine-- Apt Pupil is unacceptable because it uses the Holocaust as dramatic fodder for a lame and shallow drama, but Hogan's Heroes is acceptable because its dimwitted POW humor steers clear of the Holocaust.|Harry's Heroes made a drama about the Holocaust.|1
132504c|For this reason, the revised circular eliminates a long-standing federal requirement for formal risk assessments.|There is no reason to change the requirement.|1
100242c|Many firms are drifting because they are uncertain about the appropriate size and role of their inhouse capital projects organization.|Many firms aren't drifting because they are sure about the appropriate size|1
50718c|Once royal hunting grounds, today these areas are used for open-air events, concerts, and fireworks displays; the park's trees are almost completely gone.|These areas continue with their long legacy of being royal hunting grounds.|1
102581c|I haven't heard.|Oh, yeah, I heard all about it.|1
56772c|That's what I remember about Woodstock.|I can't remember anything about Woodstock.|1
93201c|Both the agency's classification review and comments on the product must be completed within the time frame identified in GAO's letter transmitting the draft product.|The time frame identified is not in the GAO's letter transmitting the draft product.|1
40772c|Especially popular is the oak forest (and monastery) on Monteluco, favored by St. Francis and St. Bernardino of Siena.|The pine forest on Monteluco is very popular.|1
136189c|Well, what do you think? I asked feebly. |I pondered if i made it well.|1
111706c|ILE-DE-FRANCE|Ile-de-Belgium.|1
31963c|It is about 31 metres (100 feet) in diameter, and stands 55 metres (180 feet) high the same as a 15-storey building.|It only only about as high as a two story house.|1
26988c|'No.' Lincoln's eyes narrowed.|"Lincoln said, ""OK."""|1
52220c|Both the proposed rule and the final rule were reviewed and approved as complying with the requirements of the Order based on the information supplied by FSIS, including the initial and final Regulatory Impact Analyses.|Both rules were reviewed and approved as not complying with the requirements from the order based on supplied information.|1
52039c|But even if you're not in the market for a major investment, antique-store browsing is a marvelous way to get a real taste of Japan's celebrated traditional design and aesthetics.|There are very few Japanese items in antique stores.|1
74140c|Surely farmers are willing to pay much more for fertile seeds than for infertile, and you can be sure that Monsanto fully exploits that willingness.)|Monsato is ripping people off because infertile seeds are selling for high prices|1
87922c|"We were there."""|We weren't really there.|1
78220c|Thorn and Vrenna stood in front of Jon.|Thorn and Vrenna stood behind Jon.|1
119442c|Absolutely nothing, said Tommy cheerily.|Everything., Tommy stated seriously.|1
14868c|and so i started watching it and all of a sudden stay tuned next week and i went what|It had a proper ending the first week because I watched the finale.|1
119233c|the total number of city routes (including foot routes), only 84 percent of possible city deliveries are made by city carriers using vehicles.|33 percent of possible city deliveries are made by city carriers using vehicles|1
3041c|I guess there's nothing complicated about this deal, he remarked.|He thought the deal was overcomplicated and called it off.|1
74706c|Nowadays, sadly, the custom of giving away the tapa is nonexistent, though the idea of selling snacks is stronger than ever.|The custom of giving away the tapa still exists in some form.|1
22703c|It joined NATO in 1952.|It was a NATO member in 1951.|1
22487c|This is getting all too close to me.|It isn't close to me at all. |1
26251c|There's not a hint of the 14th century in its splendid western faaade, however.|Its western facade is an obvious reference to 14th-century architecture.|1
38083c|This elegant spa town on the edge of the Lac du Bourget has offered cures for rheumatism and other ailments for centuries.|The spa town is just there for luxury only.|1
107711c|Shucks! retorted Tuppence.|"Tuppence said, ""Alright!"""|1
18566c|yeah i i pulled for them for the sole reason because i didn't want 49ers to win|I wanted the 49ers to win that game so I cheered for them.  |1
45487c|Just before the village of Seatoller is a junction with a sign for Seathwaite, said to be the wettest settlement in Britain.|Seatoller is very, very far away from Seathwaite.|1
143562c|oh it was horrible i well never ever go back i don't think uh and yeah and that that's true um|It was great, I'd love to go there again.|1
125393c|It is quiet and empty for most of the week, but comes alive during the auctions held here at 1:00 p.m. on Tuesdays, Wednesdays, and Thursdays.|The auctions are held the next town over every Saturday and Monday.|1
70318c|the penalties|The refunds.|1
71105c|Now it was flickering and flaming, shooting enormous jets of fire from its rim.|I suddenly went dark and hung lifelessly in space.|1
63674c|At least we'd get a more vivid idea of how justice works.|This would still make it difficult to understand how justice works.|1
116957c|Graceful, elegant, and refurbished for the new century, the venerable Kahala artfully mixes Hawaiian, Asian, and international touches.|The Kahala is clunky and unpleasant to all.|1
83218c|In California, the client's rights to representation would be lost in certain administrative proceedings.|In all the legal proceedings in California, all the clients keep their rights to representation. |1
12031c|The agency included in the preamble to the revised proposed rule a summary of its updated regulatory flexibility analysis.|A summary of the updated regulatory flexibility analysis was not included in the preamble.|1
21225c|Given the increasing shortage of IT professionals in the current market environment, securing an effective, responsive technology management workforce is a challenging task for both business and government organizations alike.|In the current market, there's an overabundance of IT professionals.|1
51097c|Looked like Sergeant Muller was in command he'll come in here.|Sergeant Muller looked dazed and confused, he must not be in charge of anything.|1
92861c|The method, in this instance, was sufficient to permit recommendations that were systemwide and generalizable with the single case.|The method was not enough to permit system-wide recommendations.|1
27247c|Her other hand began a series of complicated motions that had a ritualistic look about them.|She had her hands folded neatly in her lap.|1
12206c|Snorkeling and skin diving are particularly rewarding at a number of isolated inlets and nearby islets, and boats to take you there are readily available.|No diving is permitted at the nearby islets.  |1
13803c|it was pretty bad bad because i understood all of it|I didn't care because I didn't really understand the importance of that issue|1
48868c|Just north of the Puerta del Sol and next door to the Ministry of Finance, is the Real Academia de Bellas Artes de San Fernando call it the Museum of the Royal Academy.|The Puerta del Sol, Ministry of Finance, and Museum of the Royal Academy are all far apart.|1
40204c|You'll like this one, said Jon.|Jon said this one would be the worst.|1
54885c|Jon sat by her and ruffled her hair.|Jon was standing next to the man playing with his hair. |1
116988c|when you get to the point where you're looking forward to it then it gets to be important because you've got to do some planning for it uh you know especially if the company is not doing it for you|I think it's always best just to let the company do it.|1
108838c|Thar's parts maybe even an Injun ain't seed neither.|There are parts that only Indians can see.|1
111606c|she was but i don't think that England deals as heavily with with like for instance the Arab countries i don't know all the details of it but i i know that for instance in Saudi Arabia women are just|England is always messing with Arab countries.|1
100252c|i i know i have uh  i'll stick to uh to uh you know sometimes i'll stick to a certain party depends on the guy|I will avoid you and tail some other people.|1
4348c|I tried to get into character.|I wasn't even trying to act in character.|1
116773c|Participants stated that the disclosures must be made more understandable.|The disclosures were easily understood by all of the participants. |1
45861c|Ask for zumo natural de naranja (freshly pressed orange juice).|Don't ask for the freshly pressed orange juice.|1
53117c|The pace of deregulation and financial-market liberalization are not the only areas in which Japan lags behind Western countries; it appears that Japan's defense, too, is due for a thoroughgoing review.|Japan is not behind on financial-market-liberalization. |1
120104c|Another direction to take from Zion Square is up the Ben Yehuda Mall, a pedestrian road lined with shops and open-air cafe.|The Zion Square and the Ben Yehuda Mall are located at opposite ends of the city.|1
134262c|According to the preamble, the final rule was reviewed pursuant to Executive Order No.|According to the preamble, no rules could be reviewed.|1
122665c|Will they succeed?|There is absolutely no question as to whether or not they will succeed. |1
8178c|Indeed, in acculturating to America while maintaining a Jewish identity, observers of Hanukkah may well be doing Judah Maccabee proud.|Judah Maccabee wanted Jews to convert to Christianity if they lived in America.|1
136899c|" ""Did he tell you to ask me about it?""The flush darkened."|Did you tell him to ask me about it?|1
46212c|At the top of the Royal Mile you'll see typical tourist paraphernalia (postcards and T-shirts), but in the narrow surrounding streets there are many individual stores selling antiques, books, curios, and collectibles.|The top of the Royal Mile features an enormous department store where only the finest and rarest souvenirs are sold.|1
62847c|I get paid to make the community a better place for vulnerable people -- and I like that.|I do not like to get paid to make the community a better place for vulnerable people.|1
4669c|9 billion pieces respectively, and assuming that First-Class advertising mail volume has not changed between 1997 and 1998, we obtain the following figures for FY 1998: (a) 91.|They assume the first class mail has changed a lot.|1
110692c|This one is the Castillo de la Mola, erected on the site of a Roman fort.|The Castilo de la Mola was built before the Romans arrived.|1
40707c|By his middle 20s, he knew that he suffered from tuberculosis, and he coughed blood increasingly as the years went on.|He had no idea that he had tuberculosis.|1
112337c|The model highlights the kinds of thinking that agencies should apply, as well as some of the steps they can take, to make progress in managing human capital strategically.|The model highlights the kinds of thinking that agencies should not apply.|1
84057c|yeah  things like that are just kind of absurd or once in a while they'll they'll keep uh just hounding someone that they're interviewing|They are so sweet and kind throughout the interviewing process.|1
106145c|Maybe there was some relation between science and magic, after all; there might even be a meeting ground between the laws of the two worlds he knew.|There is nothing in common between science and magic.|1
39126c|It was he who would add the flesh of handsome buildings to the bones of Craig's design.|The buildings were ugly. |1
37617c|The final results of the reanalysis were then independently peer reviewed by a Special Panel of the HEI Health Review Committee.|The final analysis was accepted by the committee without further review.|1
67531c|In fact, at lunchtime even some Ibicencos themselves consider wine off-limits it's just too relaxing.|The Ibicencos only drink wine at lunch.|1
101005c|Zelon acknowledges that she makes an effort to ensure that jurors leave her courtroom with a sense of confidence in the organization of courtroom proceedings and the effectiveness of the trial-by-jury system.|The jurors are demoralized by Zelon's methods.|1
47245c|The most prominent change in human capital management that we implemented as a result of the GAO Personnel Act of 1980 was a broadbanded pay-for-performance system.|The most prominent change in human capital management was not a broadbanded pay-for-performance system.|1
110353c|and he got that he said you know it's like um i was testing it and it was wonderful and then when you tried to erase and correct you know all the errors in your voice it takes up all your memory and i want more you know and it's like|He said it's terrible, and he knows, because he's been testing for a long time.|1
108543c|you you have exceeded your ten minutes time limit hang up within the next thirty seconds so|You have more than thirty minutes left.|1
7509c|But many economists, especially non-Americans, complain that Rubin has been far too obliging toward his old colleagues and indifferent to the poor Russians and bankrupted Koreans damaged by his decisions.|Rubin had worked by himself for his entire life.|1
38195c|and uh if they do come in i've got some friends on the police force and they say that you know they apprehend somebody and they bring them in and uh they let them out they're out on the street before they get their reports done|I don't know anyone on the police force.|1
12108c|i've i've seen it uh and and i have no problem going out in a boat uh it's just so dreadfully expensive and there's just so many other ways you know when you live down there|Its cheap to go by boat, we do it all the time.|1
127898c|This reflects the cost of the program in terms of the decreased well being of households who must forego a fraction of their consumption of goods and services in order to pay for both research and development programs, energy efficiency improvements, and more expensive electricity production.|The payment for such programs does not negatively affect the household's ability to purchase goods and services.|1
74425c|yeah a lot of mobile people so the so the uh sister-in-law who lives in North Carolina can usually get up and uh|I do not have a sister-in-law.|1
141638c|  IPM is particularly well suited for modeling Clear Skies because the program relies on the operation of an allowance market, the availability of a broad range of emissions reduction options, and empowerment of economic actors to achieve emission limits.|They were a poor match for the program.|1
16221c|Guided tours are also conducted of the site.|The castle does not offer tours.|1
14454c|Tommy walked across to the writing-table, and opened the middle drawer.|Tommy only opened the top drawer and not the middle one.|1
57986c|Harris preaches pure capitalism, saying it's unfair to put a limit on a girl's ability to make money by auctioning her eggs.|Harris believes women should not share their eggs with others. |1
141125c|It asks how much more efficient would a potential competitor have to be to overcome the scale economies of the U.S.|It concludes that there is no way a competitor could overcome the U.S. economies of scale.|1
4736c|Also, Time reports that the IRS fails to collect $150 billion a year in owed taxes, largely because its ancient computer system is too crude to catch frauds.|IRS have a top of the line computer system.|1
127999c|Whether the shift from Hildy Johnson to Abe Rosenthal was a good or bad thing, it must be noted that not even Rosenthal's most passionate detractors have ever accused him of being a fictional character or of writing a sentence like Crushing all Chechen resistance, Russian troops made their dreamy, romantic, and elegant way to the outskirts of Grozny.|The Chechen resistance destroyed the Russian army at Grozny.|1
43457c|The Chicago chapter of the Legal Marketing Association will offer pro bono services to legal-aid organizations in the city.|The Legal Marketing Association in Chicago will not be offering any pro bono services.|1
72326c|The Cumberland Pencil Factory, a leading producer of pencils in the world, would appear to have little to offer the visitor, but the Pencil Museum provides fascinating insights into the history of pencil production in the area.|There is a museum at the Cumberland Pencil Factory.|1
136078c|oh actually about four thirty because they start at five to six so i was there by four thirty every night and the only thing that ever bothered me was my hair getting wet|They don't start until 8.|1
67233c|Had it not been for two things, I might have dreamed the whole thing.|I didn't know if it was real or fiction.|1
129233c|On this road, the highest point comes at the Pass of the Two Breasts (LeCol des Mamelles), altitude 600 m (1,969 ft), where it's worth stopping for the view.|It is not worth stopping for the view.|1
